Vendor Name,Vendor Style Number ,Style Code,UPC,WHSEDESC,Vendor Color Name,Size, S&B Pricing  , Pricing with Customer Discount  ,Customer discount + Embroidery ,Embroidery Design ,Personalization?,Department,Ordering Note,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R_PEW-PEWTER,619159988000,Contego Stretch V-Neck Scrub Top,Pewter,XL, $24.99 , $18.74 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R_RYL-ROYAL,619159987898,Contego Stretch V-Neck Scrub Top,Royal,XS, $24.99 , $18.74 ,,,,C.N.A.,,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R_RYL-ROYAL,619159987904,Contego Stretch V-Neck Scrub Top,Royal,S, $24.99 , $18.74 ,,,,C.N.A.,,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R_RYL-ROYAL,619159987911,Contego Stretch V-Neck Scrub Top,Royal,M, $24.99 , $18.74 ,,,,C.N.A.,,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R_RYL-ROYAL,619159987928,Contego Stretch V-Neck Scrub Top,Royal,L, $24.99 , $18.74 ,,,,C.N.A.,,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R_RYL-ROYAL,619159987935,Contego Stretch V-Neck Scrub Top,Royal,XL, $24.99 , $18.74 ,,,,C.N.A.,,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R_WIN-WINE,619159987829,Contego Stretch V-Neck Scrub Top,Wine,XS, $24.99 , $18.74 ,,,,Lab,,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R_WIN-WINE,619159987836,Contego Stretch V-Neck Scrub Top,Wine,S, $24.99 , $18.74 ,,,,Lab,,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R_WIN-WINE,619159987843,Contego Stretch V-Neck Scrub Top,Wine,M, $24.99 , $18.74 ,,,,Lab,,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R_WIN-WINE,619159987850,Contego Stretch V-Neck Scrub Top,Wine,L, $24.99 , $18.74 ,,,,Lab,,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R_WIN-WINE,619159987867,Contego Stretch V-Neck Scrub Top,Wine,XL, $24.99 , $18.74 ,,,,Lab,,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R1_NVY-NAVY,619159987805,Contego Stretch V-Neck Scrub Top,Navy,2X, $26.99 , $20.24 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
